['?', 606, 5]
['?', 328, 10]
[20, '?', 3]
['?', 563, 3]
[58, '?', 1]
[26, '?', 21]
['?', 343, 10]
['?', 28, 22]
[381, '?', 9]
['?', 226, 10]
[456, '?', 5]
['?', 458, 5]
['?', 25, 10]
[160, '?', 4]
['?', 249, 4]
[149, '?', 6]
[716, '?', 28]
['?', 617, 28]
[277, '?', 21]
[688, '?', 12]
['?', 687, 12]
['?', 533, 6]
['?', 235, 4]
['?', 583, 18]
[687, '?', 11]
['?', 688, 11]
[199, '?', 1]
['?', 201, 1]
[478, '?', 9]
[372, '?', 16]
['?', 373, 16]
['?', 60, 1]
['?', 605, 22]
[334, '?', 3]
['?', 35, 3]
['?', 604, 1]
[498, '?', 18]
['?', 500, 18]
[138, '?', 1]
['?', 136, 1]
[615, '?', 12]
['?', 370, 12]
[509, '?', 28]
[254, '?', 28]
[109, '?', 16]
[344, '?', 21]
[140, '?', 26]
['?', 432, 26]
[398, '?', 14]
['?', 399, 14]
['?', 287, 22]
[401, '?', 11]
['?', 402, 11]
[569, '?', 12]
['?', 394, 12]
[163, '?', 9]
[435, '?', 3]
['?', 381, 3]
['?', 237, 10]
[361, '?', 3]
['?', 362, 3]
[76, '?', 1]
[65, '?', 20]
['?', 64, 20]
[59, '?', 1]
[337, '?', 4]
[434, '?', 16]
[85, '?', 4]
['?', 363, 4]
[82, '?', 5]
['?', 81, 5]
['?', 477, 10]
[602, '?', 1]
[75, '?', 1]
[13, '?', 7]
['?', 207, 7]
['?', 336, 4]
['?', 457, 4]
[288, '?', 21]
[206, '?', 9]
[230, '?', 18]
['?', 391, 18]
[217, '?', 4]
[472, '?', 5]
['?', 494, 5]
[357, '?', 11]
['?', 358, 11]
[558, '?', 11]
['?', 559, 11]
['?', 224, 16]
[517, '?', 5]
['?', 159, 5]
[117, '?', 12]
['?', 116, 12]
[328, '?', 4]
['?', 200, 1]
[475, '?', 4]
['?', 338, 4]
['?', 353, 1]
['?', 500, 22]
[329, '?', 4]
[216, '?', 28]
[393, '?', 28]
[246, '?', 28]
['?', 248, 28]
[619, '?', 12]
['?', 618, 12]
[478, '?', 5]
['?', 482, 5]
[330, '?', 24]
['?', 226, 24]
[629, '?', 4]
['?', 150, 4]
['?', 334, 10]
[457, '?', 5]
['?', 456, 5]
[41, '?', 4]
['?', 40, 4]
['?', 58, 1]
['?', 600, 1]
['?', 435, 10]
[475, '?', 3]
['?', 338, 3]
['?', 603, 24]
[115, '?', 4]
[462, '?', 3]
['?', 163, 3]
[61, '?', 10]
['?', 58, 10]
[11, '?', 4]
[320, '?', 6]
['?', 500, 1]
[500, '?', 16]
['?', 498, 16]
[64, '?', 20]
['?', 65, 20]
['?', 216, 27]
['?', 182, 4]
[336, '?', 4]
[510, '?', 21]
[91, '?', 6]
['?', 127, 1]
['?', 103, 4]
[351, '?', 4]
['?', 349, 4]
['?', 254, 27]
[99, '?', 3]
['?', 100, 3]
[602, '?', 16]
['?', 33, 10]
[395, '?', 11]
['?', 669, 11]
[75, '?', 3]
['?', 73, 3]
[424, '?', 9]
[363, '?', 4]
['?', 364, 4]
['?', 362, 4]
[449, '?', 5]
['?', 425, 5]
['?', 265, 6]
[107, '?', 1]
['?', 157, 4]
[57, '?', 9]
['?', 177, 1]
[96, '?', 1]
[368, '?', 21]
[27, '?', 16]
['?', 0, 25]
['?', 330, 16]
[318, '?', 27]
['?', 319, 27]
[302, '?', 11]
['?', 303, 11]
['?', 254, 16]
[316, '?', 5]
['?', 13, 5]
['?', 196, 10]
[89, '?', 27]
['?', 538, 27]
[39, '?', 3]
['?', 37, 3]
[60, '?', 25]
['?', 102, 25]
[317, '?', 4]
['?', 13, 4]
[488, '?', 3]
['?', 476, 3]
[538, '?', 11]
['?', 697, 11]
[345, '?', 4]
['?', 104, 4]
[479, '?', 4]
['?', 481, 4]
[242, '?', 18]
['?', 214, 18]
['?', 287, 24]
['?', 164, 10]
['?', 90, 18]
[151, '?', 21]
